1;Ancol;O
2;Axit;O=CO
3;Amin;N
4;Amit;NC=O
5;Andehit;C=O
6;Benzen;c1ccccc1
7;Metyl;C
8;Toluen;Cc1ccccc1
9;Styren;C=Cc1ccccc1
